,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
0,2017/1/1,2017/1/1,严重污染,454,365,430,501,8,131,6.43,4
1,2017/1/2,2017/1/2,重度污染,220,296,,246,12,92,3.14,24
2,2017/1/3,2017/1/3,严重污染,338,354,290,380,17,137,5.61,
3,2017/1/4,2017/1/4,严重污染,393,360,344,452,18,145,7.28,8
4,2017/1/5,2017/1/5,严重污染,276,345,224,275,,109,5.55,5
5,2017/1/6,2017/1/6,重度污染,245,350,194,190,23,104,4.28,7
5,2017/1/6,2017/1/6,重度污染,245,350,194,190,23,104,4.28,7
6,2017/1/7,2017/1/7,重度污染,211,327,,128,17,80,3.22,6
7,2017/1/8,2017/1/8,良 ,104,36,22,9,33,0.97,42,42
8,2017/1/9,2017/1/9,优,67,32,44,6,36,0.76,38,38
9,2017/1/10,2017/1/10,优,71,23,40,6,32,0.64,45,45
10,2017/1/11,2017/1/11,良,198,-99,81,18,70,1.54,14,14
11,2017/1/12,2017/1/12,良,148,39,57,11,46,0.88,38,38
12,2017/1/13,2017/1/13,优,35,7,20,4,19,0.38,60,60
13,2017/1/14,2017/1/14,优,39,18,37,10,41,0.8,32,32
14,2017/1/15,2017/1/15,良,197,51,69,10,48,0.99,18,18
15,2017/1/16,2017/1/16,轻度污染,123,284,92,107,17,65,1.71,4
16,2017/1/17,2017/1/17,中度污染,176,311,132,144,20,71,2.11,10
17,2017/1/18,2017/1/18,良,74,37,50,9,48,0.83,,26
18,2017/1/19,2017/1/19,良,161,45,88,13,36,1.17,39,39
19,2017/1/20,2017/1/20,优,45,21,34,7,31,,48,48
20,2017/1/21,2017/1/21,良,58,,49,9,28,0.78,48,48
21,2017/1/22,2017/1/22,优,8,23,34,10,38,0.79,37,37
21,2017/1/22,2017/1/22,优,8,23,34,10,38,0.79,37,37
22,2017/1/23,2017/1/23,优,35,32,44,12,45,0.98,29,29
23,2017/1/24,2017/1/24,轻度污染,114,239,85,100,27,73,2.04,15
24,2017/1/25,2017/1/25,重度污染,221,314,171,186,38,91,3.22,14
25,2017/1/26,2017/1/26,重度污染,203,289,159,196,25,62,2.66,33
26,2017/1/27,2017/1/27,良,149,60,88,20,28,0.72,59,59
27,2017/1/28,2017/1/28,严重污染,364,359,337,419,81,69,2.62,16
28,2017/1/29,2017/1/29,良,166,39,75,10,16,0.72,61,61
29,2017/1/30,2017/1/30,优,101,24,31,9,19,0.56,,62
30,2017/1/31,2017/1/31,轻度污染,102,310,75,86,27,40,1.26,45
0,2017/2/1,2017/2/1,良,125,30,49,12,24,0.6,56,56
1,2017/2/2,2017/2/2,轻度污染,107,264,80,101,29,58,1.53,31
2,2017/2/3,2017/2/3,中度污染,196,327,,181,43,83,2.57,25
3,2017/2/4,2017/2/4,严重污染,294,358,247,280,49,92,3.23,33
4,2017/2/5,2017/2/5,优,6,12,16,,23,0.46,64,64
5,2017/2/6,2017/2/6,优,14,12,23,6,26,0.47,55,55
6,2017/2/7,2017/2/7,轻度污染,101,322,75,93,20,59,1.51,17
7,2017/2/8,2017/2/8,良,221,32,50,6,26,0.73,56,56
8,2017/2/9,2017/2/9,优,24,6,20,2,10,0.3,73,73
9,2017/2/10,2017/2/10,优,23,6,,2,13,0.31,74,74
10,2017/2/11,2017/2/11,良,86,42,66,17,43,0.87,45,45
11,2017/2/12,2017/2/12,轻度污染,,306,104,132,41,76,2.28,23
12,2017/2/13,2017/2/13,轻度污染,109,229,79,104,23,66,2.06,32
13,2017/2/14,2017/2/14,重度污染,225,338,176,190,30,95,2.89,12
14,2017/2/15,2017/2/15,严重污染,283,358,232,209,35,105,3.16,22
15,2017/2/16,2017/2/16,轻度污染,145,289,107,71,18,54,1.44,47
15,2017/2/16,2017/2/16,轻度污染,145,289,107,71,18,54,1.44,47
16,2017/2/17,2017/2/17,优级,39,20,37,6,27,0.52,59,59
17,2017/2/18,2017/2/18,轻度污染,111,255,83,119,25,71,1.58,25
18,2017/2/19,2017/2/19,轻度污染,150,277,97,143,24,61,1.41,43
19,2017/2/20,2017/2/20,优,15,10,31,4,23,0.42,62,62
20,2017/2/21,2017/2/21,良,308,60,,14,58,1.32,17,17
21,2017/2/22,2017/2/22,轻度污染,106,313,76,50,6,40,1.08,41
22,2017/2/23,2017/2/23,优,43,16,28,6,29,,60,60
23,2017/2/24,2017/2/24,优,80,25,39,9,43,0.76,45,45
24,2017/2/25,2017/2/25,优,27,10,21,5,29,0.47,58,58
25,2017/2/26,2017/2/26,优,50,27,45,9,49,0.76,41,41
