Unnamed: 0,日期,日期.1,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,年,月,日,周,星期几,季节,是否周末,是否法定节假日,经济活动期,工作日类型
0,2017-01-01,2017/1/1,严重污染,454.0,365.0,430.0,501.0,8.0,131.0,6.43,4.0,2017,1,1,52,6,冬,是,是,冬季低谷,休息日
1,2017-01-02,2017/1/2,重度污染,220.0,296.0,,246.0,12.0,92.0,3.14,24.0,2017,1,2,1,0,冬,否,是,冬季低谷,工作日
2,2017-01-03,2017/1/3,严重污染,338.0,354.0,290.0,380.0,17.0,137.0,5.61,,2017,1,3,1,1,冬,否,是,冬季低谷,工作日
3,2017-01-04,2017/1/4,严重污染,393.0,360.0,344.0,452.0,18.0,145.0,7.28,8.0,2017,1,4,1,2,冬,否,否,冬季低谷,工作日
4,2017-01-05,2017/1/5,严重污染,276.0,345.0,224.0,275.0,,109.0,5.55,5.0,2017,1,5,1,3,冬,否,否,冬季低谷,工作日
5,2017-01-06,2017/1/6,重度污染,245.0,350.0,194.0,190.0,23.0,104.0,4.28,7.0,2017,1,6,1,4,冬,否,否,冬季低谷,工作日
6,2017-01-07,2017/1/7,重度污染,211.0,327.0,,128.0,17.0,80.0,3.22,6.0,2017,1,7,1,5,冬,是,否,冬季低谷,休息日
7,2017-01-08,2017/1/8,良,104.0,36.0,22.0,9.0,33.0,0.97,42.0,42.0,2017,1,8,1,6,冬,是,否,冬季低谷,休息日
8,2017-01-09,2017/1/9,优,67.0,32.0,44.0,6.0,36.0,0.76,38.0,38.0,2017,1,9,2,0,冬,否,否,冬季低谷,工作日
9,2017-01-10,2017/1/10,优,71.0,23.0,40.0,6.0,32.0,0.64,45.0,45.0,2017,1,10,2,1,冬,否,否,冬季低谷,工作日
10,2017-01-11,2017/1/11,良,198.0,-99.0,81.0,18.0,70.0,1.54,14.0,14.0,2017,1,11,2,2,冬,否,否,冬季低谷,工作日
11,2017-01-12,2017/1/12,良,148.0,39.0,57.0,11.0,46.0,0.88,38.0,38.0,2017,1,12,2,3,冬,否,否,冬季低谷,工作日
12,2017-01-13,2017/1/13,优,35.0,7.0,20.0,4.0,19.0,0.38,60.0,60.0,2017,1,13,2,4,冬,否,否,冬季低谷,工作日
13,2017-01-14,2017/1/14,优,39.0,18.0,37.0,10.0,41.0,0.8,32.0,32.0,2017,1,14,2,5,冬,是,否,冬季低谷,休息日
14,2017-01-15,2017/1/15,良,197.0,51.0,69.0,10.0,48.0,0.99,18.0,18.0,2017,1,15,2,6,冬,是,否,冬季低谷,休息日
15,2017-01-16,2017/1/16,轻度污染,123.0,284.0,92.0,107.0,17.0,65.0,1.71,4.0,2017,1,16,3,0,冬,否,否,冬季低谷,工作日
16,2017-01-17,2017/1/17,中度污染,176.0,311.0,132.0,144.0,20.0,71.0,2.11,10.0,2017,1,17,3,1,冬,否,否,冬季低谷,工作日
17,2017-01-18,2017/1/18,良,74.0,37.0,50.0,9.0,48.0,0.83,,26.0,2017,1,18,3,2,冬,否,否,冬季低谷,工作日
18,2017-01-19,2017/1/19,良,161.0,45.0,88.0,13.0,36.0,1.17,39.0,39.0,2017,1,19,3,3,冬,否,否,冬季低谷,工作日
19,2017-01-20,2017/1/20,优,45.0,21.0,34.0,7.0,31.0,,48.0,48.0,2017,1,20,3,4,冬,否,否,冬季低谷,工作日
20,2017-01-21,2017/1/21,良,58.0,,49.0,9.0,28.0,0.78,48.0,48.0,2017,1,21,3,5,冬,是,否,冬季低谷,休息日
21,2017-01-22,2017/1/22,优,8.0,23.0,34.0,10.0,38.0,0.79,37.0,37.0,2017,1,22,3,6,冬,是,否,冬季低谷,休息日
22,2017-01-23,2017/1/23,优,35.0,32.0,44.0,12.0,45.0,0.98,29.0,29.0,2017,1,23,4,0,冬,否,否,冬季低谷,工作日
23,2017-01-24,2017/1/24,轻度污染,114.0,239.0,85.0,100.0,27.0,73.0,2.04,15.0,2017,1,24,4,1,冬,否,否,冬季低谷,工作日
24,2017-01-25,2017/1/25,重度污染,221.0,314.0,171.0,186.0,38.0,91.0,3.22,14.0,2017,1,25,4,2,冬,否,否,冬季低谷,工作日
25,2017-01-26,2017/1/26,重度污染,203.0,289.0,159.0,196.0,25.0,62.0,2.66,33.0,2017,1,26,4,3,冬,否,否,冬季低谷,工作日
26,2017-01-27,2017/1/27,良,149.0,60.0,88.0,20.0,28.0,0.72,59.0,59.0,2017,1,27,4,4,冬,否,是,冬季低谷,工作日
27,2017-01-28,2017/1/28,严重污染,364.0,359.0,337.0,419.0,81.0,69.0,2.62,16.0,2017,1,28,4,5,冬,是,是,冬季低谷,休息日
28,2017-01-29,2017/1/29,良,166.0,39.0,75.0,10.0,16.0,0.72,61.0,61.0,2017,1,29,4,6,冬,是,否,冬季低谷,休息日
