Unnamed: 0,日期,日期.1,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
0,2017/1/1,2017/1/1,严重污染,454.0,365.0,430.0,501.0,8.0,131.0,6.43,4.0
1,2017/1/2,2017/1/2,重度污染,220.0,296.0,,246.0,12.0,92.0,3.14,24.0
2,2017/1/3,2017/1/3,严重污染,338.0,354.0,290.0,380.0,17.0,137.0,5.61,
3,2017/1/4,2017/1/4,严重污染,393.0,360.0,344.0,452.0,18.0,145.0,7.28,8.0
4,2017/1/5,2017/1/5,严重污染,276.0,345.0,224.0,275.0,,109.0,5.55,5.0
5,2017/1/6,2017/1/6,重度污染,245.0,350.0,194.0,190.0,23.0,104.0,4.28,7.0
5,2017/1/6,2017/1/6,重度污染,245.0,350.0,194.0,190.0,23.0,104.0,4.28,7.0
6,2017/1/7,2017/1/7,重度污染,211.0,327.0,,128.0,17.0,80.0,3.22,6.0
7,2017/1/8,2017/1/8,良 ,104.0,36.0,22.0,9.0,33.0,0.97,42.0,42.0
8,2017/1/9,2017/1/9,优,67.0,32.0,44.0,6.0,36.0,0.76,38.0,38.0
9,2017/1/10,2017/1/10,优,71.0,23.0,40.0,6.0,32.0,0.64,45.0,45.0
10,2017/1/11,2017/1/11,良,198.0,-99.0,81.0,18.0,70.0,1.54,14.0,14.0
11,2017/1/12,2017/1/12,良,148.0,39.0,57.0,11.0,46.0,0.88,38.0,38.0
12,2017/1/13,2017/1/13,优,35.0,7.0,20.0,4.0,19.0,0.38,60.0,60.0
13,2017/1/14,2017/1/14,优,39.0,18.0,37.0,10.0,41.0,0.8,32.0,32.0
14,2017/1/15,2017/1/15,良,197.0,51.0,69.0,10.0,48.0,0.99,18.0,18.0
15,2017/1/16,2017/1/16,轻度污染,123.0,284.0,92.0,107.0,17.0,65.0,1.71,4.0
16,2017/1/17,2017/1/17,中度污染,176.0,311.0,132.0,144.0,20.0,71.0,2.11,10.0
17,2017/1/18,2017/1/18,良,74.0,37.0,50.0,9.0,48.0,0.83,,26.0
18,2017/1/19,2017/1/19,良,161.0,45.0,88.0,13.0,36.0,1.17,39.0,39.0
19,2017/1/20,2017/1/20,优,45.0,21.0,34.0,7.0,31.0,,48.0,48.0
20,2017/1/21,2017/1/21,良,58.0,,49.0,9.0,28.0,0.78,48.0,48.0
21,2017/1/22,2017/1/22,优,8.0,23.0,34.0,10.0,38.0,0.79,37.0,37.0
21,2017/1/22,2017/1/22,优,8.0,23.0,34.0,10.0,38.0,0.79,37.0,37.0
22,2017/1/23,2017/1/23,优,35.0,32.0,44.0,12.0,45.0,0.98,29.0,29.0
23,2017/1/24,2017/1/24,轻度污染,114.0,239.0,85.0,100.0,27.0,73.0,2.04,15.0
24,2017/1/25,2017/1/25,重度污染,221.0,314.0,171.0,186.0,38.0,91.0,3.22,14.0
25,2017/1/26,2017/1/26,重度污染,203.0,289.0,159.0,196.0,25.0,62.0,2.66,33.0
26,2017/1/27,2017/1/27,良,149.0,60.0,88.0,20.0,28.0,0.72,59.0,59.0
27,2017/1/28,2017/1/28,严重污染,364.0,359.0,337.0,419.0,81.0,69.0,2.62,16.0
28,2017/1/29,2017/1/29,良,166.0,39.0,75.0,10.0,16.0,0.72,61.0,61.0
29,2017/1/30,2017/1/30,优,101.0,24.0,31.0,9.0,19.0,0.56,,62.0
30,2017/1/31,2017/1/31,轻度污染,102.0,310.0,75.0,86.0,27.0,40.0,1.26,45.0
0,2017/2/1,2017/2/1,良,125.0,30.0,49.0,12.0,24.0,0.6,56.0,56.0
1,2017/2/2,2017/2/2,轻度污染,107.0,264.0,80.0,101.0,29.0,58.0,1.53,31.0
2,2017/2/3,2017/2/3,中度污染,196.0,327.0,,181.0,43.0,83.0,2.57,25.0
3,2017/2/4,2017/2/4,严重污染,294.0,358.0,247.0,280.0,49.0,92.0,3.23,33.0
4,2017/2/5,2017/2/5,优,6.0,12.0,16.0,,23.0,0.46,64.0,64.0
5,2017/2/6,2017/2/6,优,14.0,12.0,23.0,6.0,26.0,0.47,55.0,55.0
6,2017/2/7,2017/2/7,轻度污染,101.0,322.0,75.0,93.0,20.0,59.0,1.51,17.0
7,2017/2/8,2017/2/8,良,221.0,32.0,50.0,6.0,26.0,0.73,56.0,56.0
8,2017/2/9,2017/2/9,优,24.0,6.0,20.0,2.0,10.0,0.3,73.0,73.0
9,2017/2/10,2017/2/10,优,23.0,6.0,,2.0,13.0,0.31,74.0,74.0
10,2017/2/11,2017/2/11,良,86.0,42.0,66.0,17.0,43.0,0.87,45.0,45.0
11,2017/2/12,2017/2/12,轻度污染,,306.0,104.0,132.0,41.0,76.0,2.28,23.0
